Data,Sul,Sudeste,Norte,Nordeste
,,,,
01/05/2025 00:00:00,"4,22","33,23","17,96","25,3"
01/05/2025 01:00:00,"3,98","32,6","16,52","25,22"
01/05/2025 02:00:00,"3,1","32,25","16,05","25,19"
01/05/2025 03:00:00,"2,99","32,16","14,77","25,11"
01/05/2025 04:00:00,"2,97","31,8","14,94","25,02"
01/05/2025 05:00:00,"2,91","31,74","15,15","24,94"
01/05/2025 06:00:00,"3,37","32,12","12,71","24,89"
01/05/2025 07:00:00,"4,36","32,93","9,24","24,87"
01/05/2025 08:00:00,"5,38","34,34","8,35","24,85"
01/05/2025 09:00:00,"6,12","35,74","8,47","24,84"
01/05/2025 10:00:00,"6,51","37,17","8,81","24,78"
01/05/2025 11:00:00,"7,02","37,99","9,11","24,78"
01/05/2025 12:00:00,"6,95","37,79","9,12","24,7"
01/05/2025 13:00:00,"6,58","37,37","9,33","24,69"
01/05/2025 14:00:00,"5,84","36,85","10,87","24,67"
01/05/2025 15:00:00,"5,03","36,74","12,9","24,62"
01/05/2025 16:00:00,"4,53","37,88","14,6","24,48"
01/05/2025 17:00:00,"4,87","40,02","16,85","24,42"
01/05/2025 18:00:00,"7,43","41,27","17,44","24,39"
01/05/2025 19:00:00,"6,62","41,06","16,27","24,38"
01/05/2025 20:00:00,"4,89","40,7","15,62","24,37"
01/05/2025 21:00:00,"3,93","38,98","15,87","24,29"
01/05/2025 22:00:00,"3,42","36,72","15,85","24,28"
01/05/2025 23:00:00,"3,33","34,32","14,77","24,25"
02/05/2025 00:00:00,"3,3","31,82","14,14","24,23"
02/05/2025 01:00:00,"3,21","29,98","13,99","24,21"
02/05/2025 02:00:00,"3,29","29,36","14,05","24,21"
02/05/2025 03:00:00,"3,1","29,29","14,21","24,21"
02/05/2025 04:00:00,"2,72","29,49","13,87","24,2"
02/05/2025 05:00:00,"3,48","29,86","13,31","24,17"
02/05/2025 06:00:00,"4,91","30,6","11,32","24,14"
02/05/2025 07:00:00,6,"33,29","8,68","24,13"
02/05/2025 08:00:00,"6,37","35,61","8,73","24,11"
02/05/2025 09:00:00,"6,71","37,7","9,07","24,11"
02/05/2025 10:00:00,"6,91","39,5","9,43","24,09"
02/05/2025 11:00:00,"7,16","41,2","9,6","24,06"
02/05/2025 12:00:00,"6,87","41,29","9,71","24,05"
02/05/2025 13:00:00,"6,58","41,02","10,14","24,04"
02/05/2025 14:00:00,"6,45","39,3","11,91","24,03"
02/05/2025 15:00:00,"6,45","38,74","13,25","24,02"
02/05/2025 16:00:00,"7,26","39,56","14,62","24,01"
02/05/2025 17:00:00,8,"39,92","16,78","24,01"
02/05/2025 18:00:00,"9,75","41,86","16,28",24
02/05/2025 19:00:00,"8,05","41,62","15,7","23,99"
02/05/2025 20:00:00,"6,51","40,8","15,56","23,98"
02/05/2025 21:00:00,"5,9","39,59","15,75","23,97"
02/05/2025 22:00:00,"4,98","37,52","15,44","23,94"
